,Unnamed: 0,location,total_sqft,bath,price,bhk
0,0,1st Block Jayanagar,2850.0,4.0,42800000.0,4
1,1,1st Block Jayanagar,1630.0,3.0,19400000.0,3
2,2,1st Block Jayanagar,1875.0,2.0,23500000.0,3
3,3,1st Block Jayanagar,1200.0,2.0,13000000.0,3
4,4,1st Block Jayanagar,1235.0,2.0,14800000.0,2
5,5,1st Block Jayanagar,2750.0,4.0,41300000.0,4
6,6,1st Block Jayanagar,2450.0,4.0,36800000.0,4
7,8,1st Phase JP Nagar,1875.0,3.0,16700000.0,3
8,9,1st Phase JP Nagar,1500.0,5.0,8500000.0,5
9,10,1st Phase JP Nagar,2065.0,4.0,21000000.0,3
10,12,1st Phase JP Nagar,2059.0,3.0,22500000.0,3
11,13,1st Phase JP Nagar,1394.0,2.0,10000000.0,2
12,14,1st Phase JP Nagar,1077.0,2.0,9300000.0,2
13,15,1st Phase JP Nagar,1566.0,2.0,18000000.0,2
14,16,1st Phase JP Nagar,840.0,2.0,5000000.0,1
15,17,1st Phase JP Nagar,1590.0,3.0,13100000.0,3
16,18,1st Phase JP Nagar,2180.0,3.0,21000000.0,3
17,19,1st Phase JP Nagar,1180.0,2.0,8850000.0,2
18,20,1st Phase JP Nagar,1200.0,2.0,8600000.0,2
19,21,1st Phase JP Nagar,1394.0,2.0,8500000.0,2
20,22,1st Phase JP Nagar,2077.0,3.0,17500000.0,3
21,24,1st Phase JP Nagar,1205.0,2.0,8500000.0,2
22,26,1st Phase JP Nagar,900.0,2.0,7500000.0,2
23,27,2nd Phase Judicial Layout,1450.0,2.0,5075000.0,3
24,28,2nd Phase Judicial Layout,1150.0,2.0,4025000.0,2
25,29,2nd Phase Judicial Layout,1350.0,2.0,4725000.0,3
26,30,2nd Phase Judicial Layout,1350.0,2.0,4725000.0,3
27,31,2nd Phase Judicial Layout,900.0,2.0,4100000.0,2
28,32,2nd Phase Judicial Layout,1681.0,3.0,6900000.0,3
29,33,2nd Phase Judicial Layout,1350.0,2.0,4725000.0,3
30,34,2nd Phase Judicial Layout,1150.0,2.0,4025000.0,2
31,35,2nd Stage Nagarbhavi,1500.0,4.0,22000000.0,4
32,36,2nd Stage Nagarbhavi,3000.0,8.0,45100000.0,6
33,37,2nd Stage Nagarbhavi,2400.0,8.0,45000000.0,6
34,38,2nd Stage Nagarbhavi,1350.0,4.0,20000000.0,4
35,39,2nd Stage Nagarbhavi,1200.0,4.0,22500000.0,4
36,40,2nd Stage Nagarbhavi,1500.0,3.0,23000000.0,4
37,41,5th Block Hbr Layout,1206.0,2.0,5600000.0,2
38,42,5th Block Hbr Layout,1270.0,2.0,7000000.0,3
39,43,5th Block Hbr Layout,1312.0,2.0,6900000.0,2
40,44,5th Block Hbr Layout,1100.0,2.0,4800000.0,2
41,45,5th Block Hbr Layout,3600.0,5.0,13000000.0,5
42,46,5th Block Hbr Layout,5100.0,5.0,30000000.0,6
43,47,5th Phase JP Nagar,1075.0,2.0,6000000.0,2
44,48,5th Phase JP Nagar,1150.0,3.0,5250000.0,2
45,49,5th Phase JP Nagar,1256.0,2.0,6280000.0,2
46,50,5th Phase JP Nagar,1207.0,2.0,6300000.0,2
47,51,5th Phase JP Nagar,1725.0,2.0,10000000.0,3
48,52,5th Phase JP Nagar,1440.0,2.0,6000000.0,2
49,53,5th Phase JP Nagar,1700.0,2.0,10000000.0,3
50,55,5th Phase JP Nagar,2500.0,5.0,11000000.0,5
51,56,5th Phase JP Nagar,600.0,1.0,3000000.0,1
52,57,5th Phase JP Nagar,1390.0,2.0,6500000.0,2
53,58,5th Phase JP Nagar,1256.0,2.0,6280000.0,2
54,59,5th Phase JP Nagar,1000.0,2.0,4800000.0,2
55,60,5th Phase JP Nagar,1350.0,2.0,7500000.0,3
56,61,5th Phase JP Nagar,552.0,1.0,2350000.0,1
57,62,5th Phase JP Nagar,1200.0,2.0,5100000.0,2
58,66,5th Phase JP Nagar,1030.0,2.0,5700000.0,2
59,67,5th Phase JP Nagar,1200.0,2.0,6800000.0,2
60,68,5th Phase JP Nagar,1190.0,2.0,6180000.0,2
61,69,5th Phase JP Nagar,4000.0,5.0,17000000.0,5
62,70,5th Phase JP Nagar,1080.0,2.0,5300000.0,2
63,71,5th Phase JP Nagar,1041.0,2.0,5400000.0,2
64,72,5th Phase JP Nagar,812.0,2.0,4200000.0,2
65,73,5th Phase JP Nagar,1010.0,2.0,5700000.0,2
66,75,5th Phase JP Nagar,1075.0,2.0,6000000.0,2
67,76,6th Phase JP Nagar,1192.0,2.0,7400000.0,2
68,77,6th Phase JP Nagar,1180.0,2.0,8000000.0,2
69,78,6th Phase JP Nagar,3245.0,4.0,25000000.0,4
70,79,6th Phase JP Nagar,1645.0,3.0,10000000.0,3
71,80,6th Phase JP Nagar,1140.0,2.0,6500000.0,2
72,81,6th Phase JP Nagar,2040.0,3.0,20000000.0,3
73,82,6th Phase JP Nagar,1213.0,2.0,6300000.0,2
74,83,6th Phase JP Nagar,1216.0,2.0,6000000.0,2
75,84,6th Phase JP Nagar,1460.0,2.0,8000000.0,2
76,85,6th Phase JP Nagar,2003.0,3.0,20000000.0,3
77,86,6th Phase JP Nagar,1810.0,3.0,13100000.0,3
78,87,6th Phase JP Nagar,1515.0,2.0,13500000.0,3
79,88,6th Phase JP Nagar,1192.0,2.0,7500000.0,2
80,89,6th Phase JP Nagar,1280.0,2.0,8800000.0,2
81,90,7th Phase JP Nagar,1080.0,2.0,7200000.0,2
82,91,7th Phase JP Nagar,1270.0,2.0,9300000.0,2
83,92,7th Phase JP Nagar,1420.0,2.0,10000000.0,3
84,93,7th Phase JP Nagar,1850.0,3.0,15000000.0,3
85,94,7th Phase JP Nagar,1245.0,2.0,9400000.0,2
86,95,7th Phase JP Nagar,1175.0,2.0,8200000.0,2
87,96,7th Phase JP Nagar,1400.0,2.0,9500000.0,3
88,97,7th Phase JP Nagar,2225.0,3.0,16000000.0,3
89,98,7th Phase JP Nagar,1050.0,2.0,7100000.0,2
90,99,7th Phase JP Nagar,1100.0,2.0,4600000.0,2
91,100,7th Phase JP Nagar,918.0,2.0,5049000.0,2
92,101,7th Phase JP Nagar,1450.0,2.0,10000000.0,3
93,102,7th Phase JP Nagar,1190.0,2.0,4998000.0,2
94,103,7th Phase JP Nagar,1420.0,2.0,9600000.0,3
95,104,7th Phase JP Nagar,1680.0,3.0,12000000.0,3
96,105,7th Phase JP Nagar,980.0,2.0,6900000.0,2
97,106,7th Phase JP Nagar,1180.0,2.0,7200000.0,2
98,110,7th Phase JP Nagar,1400.0,3.0,11500000.0,3
99,111,7th Phase JP Nagar,1270.0,2.0,8300000.0,2
100,113,7th Phase JP Nagar,2503.0,4.0,18800000.0,4
101,114,7th Phase JP Nagar,2200.0,3.0,19000000.0,3
102,117,7th Phase JP Nagar,1575.0,2.0,11000000.0,3
103,118,7th Phase JP Nagar,1850.0,3.0,14000000.0,3
104,119,7th Phase JP Nagar,1575.0,2.0,12000000.0,3
105,120,7th Phase JP Nagar,1850.0,3.0,15000000.0,3
106,121,7th Phase JP Nagar,1680.0,3.0,12000000.0,3
107,122,7th Phase JP Nagar,1175.0,2.0,8250000.0,2
108,125,7th Phase JP Nagar,1215.0,2.0,9000000.0,2
109,126,7th Phase JP Nagar,1050.0,2.0,7500000.0,2
110,127,7th Phase JP Nagar,1300.0,3.0,8913000.0,3
111,128,7th Phase JP Nagar,1130.0,2.0,7300000.0,2
112,129,7th Phase JP Nagar,1450.0,3.0,10000000.0,3
113,131,7th Phase JP Nagar,1050.0,2.0,5000000.0,2
114,132,7th Phase JP Nagar,1275.0,2.0,8700000.0,2
115,134,7th Phase JP Nagar,1650.0,3.0,11000000.0,3
116,135,7th Phase JP Nagar,850.0,2.0,4200000.0,2
117,136,7th Phase JP Nagar,1680.0,3.0,11700000.0,3
118,137,7th Phase JP Nagar,1850.0,3.0,15000000.0,3
119,138,7th Phase JP Nagar,1236.0,2.0,6133000.0,2
120,139,7th Phase JP Nagar,1000.0,2.0,5300000.0,2
121,140,7th Phase JP Nagar,1680.0,3.0,12500000.0,3
122,141,7th Phase JP Nagar,1675.0,2.0,13500000.0,3
123,142,7th Phase JP Nagar,1187.0,2.0,5900000.0,2
124,143,7th Phase JP Nagar,1850.0,3.0,15500000.0,3
125,144,7th Phase JP Nagar,1000.0,2.0,6100000.0,2
126,145,7th Phase JP Nagar,1460.0,2.0,10000000.0,3
127,146,7th Phase JP Nagar,1650.0,3.0,11000000.0,3
128,147,7th Phase JP Nagar,1200.0,2.0,6250000.0,2
129,148,7th Phase JP Nagar,1000.0,2.0,7065000.000000001,2
130,149,7th Phase JP Nagar,1080.0,2.0,7500000.0,2
131,151,7th Phase JP Nagar,1680.0,3.0,12500000.0,3
132,152,7th Phase JP Nagar,1460.0,2.0,9700000.0,3
133,153,7th Phase JP Nagar,1120.0,2.0,6500000.0,2
134,154,7th Phase JP Nagar,1100.0,3.0,6000000.0,2
135,155,7th Phase JP Nagar,1790.0,3.0,12000000.0,3
136,156,7th Phase JP Nagar,1680.0,3.0,11700000.0,3
137,157,7th Phase JP Nagar,1050.0,2.0,7700000.0,2
138,158,7th Phase JP Nagar,1050.0,2.0,7500000.0,2
139,159,7th Phase JP Nagar,1040.0,2.0,7500000.0,2
140,160,7th Phase JP Nagar,1400.0,2.0,9500000.0,3
141,161,7th Phase JP Nagar,1800.0,3.0,13000000.0,3
142,162,7th Phase JP Nagar,1050.0,2.0,6800000.0,2
143,163,7th Phase JP Nagar,1000.0,2.0,6000000.0,2
144,164,7th Phase JP Nagar,1680.0,3.0,12500000.0,3
145,165,7th Phase JP Nagar,1050.0,2.0,7747000.0,2
146,166,7th Phase JP Nagar,1270.0,2.0,8000000.0,2
147,168,7th Phase JP Nagar,1680.0,3.0,12200000.0,3
148,169,7th Phase JP Nagar,1130.0,2.0,8500000.0,2
149,170,7th Phase JP Nagar,1680.0,3.0,13000000.0,3
150,171,7th Phase JP Nagar,980.0,2.0,7744000.0,2
151,172,7th Phase JP Nagar,1680.0,3.0,11200000.0,3
152,174,7th Phase JP Nagar,2095.0,3.0,15000000.0,3
153,175,7th Phase JP Nagar,1976.0,3.0,14500000.0,3
154,176,7th Phase JP Nagar,1600.0,2.0,11000000.0,3
155,177,7th Phase JP Nagar,1765.0,3.0,11800000.0,3
156,178,7th Phase JP Nagar,1275.0,2.0,8800000.0,3
157,179,7th Phase JP Nagar,1450.0,2.0,10200000.0,3
158,180,7th Phase JP Nagar,1575.0,2.0,11000000.0,3
159,182,7th Phase JP Nagar,750.0,1.0,4700000.0,1
160,183,7th Phase JP Nagar,990.0,2.0,5000000.0,2
161,184,7th Phase JP Nagar,1000.0,1.0,6000000.0,1
162,186,7th Phase JP Nagar,1430.0,2.0,10200000.0,3
163,187,7th Phase JP Nagar,1128.0,2.0,6000000.0,2
164,188,7th Phase JP Nagar,1140.0,2.0,5700000.0,2
165,189,7th Phase JP Nagar,1420.0,3.0,9000000.0,3
166,190,7th Phase JP Nagar,1530.0,2.0,10800000.0,2
167,191,8th Phase JP Nagar,1073.5,2.0,5400500.0,2
168,192,8th Phase JP Nagar,451.0,1.0,2990000.0,1
169,194,8th Phase JP Nagar,1062.0,2.0,4247000.0,2
170,196,8th Phase JP Nagar,1455.0,3.0,7331000.0,3
171,197,8th Phase JP Nagar,871.0,2.0,5500000.0,2
172,198,8th Phase JP Nagar,1098.0,2.0,4391000.0,2
173,199,8th Phase JP Nagar,1800.0,3.0,8000000.0,3
174,200,8th Phase JP Nagar,2700.0,4.0,13000000.0,4
175,201,8th Phase JP Nagar,1080.0,2.0,3800000.0,2
176,202,8th Phase JP Nagar,1059.0,2.0,3450000.0,2
177,203,8th Phase JP Nagar,1080.0,2.0,3500000.0,2
178,205,8th Phase JP Nagar,1062.0,2.0,4247000.0,2
179,206,8th Phase JP Nagar,500.0,1.0,3100000.0,1
180,207,8th Phase JP Nagar,1100.0,2.0,3500000.0,2
181,208,8th Phase JP Nagar,2100.0,4.0,9200000.0,4
182,209,8th Phase JP Nagar,1035.0,2.0,3933000.0,2
183,210,8th Phase JP Nagar,909.0,2.0,4090000.0,2
184,211,8th Phase JP Nagar,1431.5,3.0,7202000.0,3
185,212,8th Phase JP Nagar,1900.0,4.0,9000000.0,3
186,213,8th Phase JP Nagar,500.0,1.0,3000000.0,1
187,214,8th Phase JP Nagar,1125.0,2.0,3694000.0,2
188,215,8th Phase JP Nagar,1100.0,2.0,3500000.0,2
189,216,8th Phase JP Nagar,1089.0,2.0,4355000.0,2
190,218,8th Phase JP Nagar,1504.0,2.0,8300000.0,3
191,219,8th Phase JP Nagar,2600.0,4.0,11500000.0,4
192,221,8th Phase JP Nagar,1089.0,2.0,4355000.0,2
193,223,8th Phase JP Nagar,1513.0,2.0,6200000.0,2
